Country,GDP_per_Capita,Population,CO2_Emissions,Renewable_Energy,REP,CO2P
Turkey,26150.3998,84339067,9154589098,90248,0.001070062,108.5450601
Tuvalu,3727.71134,11792,243968,2.8,0.000237449,20.68928087
Uganda,1908.30027,45741007,89276331,3594,7.85728E-05,1.951778871
Ukraine,8289.70729,43733762,2.56E+10,9285,0.000212307,584.994266
United Arab Emirates,72386.0905,9890402,3922955515,337.3,3.41038E-05,396.6426759
United Kingdom,43543.5878,67886011,7.67E+10,110019,0.001620643,1129.628901
United States of America,57904.202,331002651,3.94E+11,637076,0.001924685,1190.322793
Uruguay,21820.259,3473730,346231602,12795,0.003683361,99.67142006
Uzbekistan,7723.93751,33469203,5935286883,14901,0.000445215,177.3357699
Vanuatu,3011.85359,307145,4133697,29.9,9.73482E-05,13.45845448
Venezuela,3011.85359,28435940,7411625736,76099,0.002676156,260.6428954
Vietnam,6365.28949,97338579,2817272589,63654,0.000653944,28.94302154
Yemen,16358.4856,29825964,600467008,549,1.84068E-05,20.13235877
Zambia,3998.00444,18383955,182622452,11108,0.000604223,9.933795639
Zimbabwe,2687.38543,14862924,691590138,3658,0.000246116,46.53123019
